SNo,States,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Composite
1,Kerala,81,84,80,82,66,87,100,74,69,71,84,53,80,51,88,82,79
2,Uttarakhand,83,66,84,73,56,94,100,80,62,69,89,86,71,,94,81,79
3,Tamil Nadu,92,75,77,76,53,90,100,81,67,76,81,78,81,61,72,78,78
4,Goa,79,74,79,72,61,100,100,74,76,87,85,47,54,50,79,83,77
5,Himachal Pradesh,71,51,83,77,62,99,100,88,59,80,77,78,62,,78,85,77
6,Punjab,84,83,79,75,47,74,100,68,69,77,94,76,66,,65,81,76
7,Sikkim,66,77,66,67,65,97,83,84,55,80,88,75,81,,72,80,76
8,Karnataka,73,56,80,63,51,90,100,86,62,69,85,85,73,77,70,81,75
9,Andhra Pradesh,86,67,78,52,51,91,100,69,49,67,85,93,70,95,77,79,74
10,Gujarat,75,41,90,58,52,98,98,76,61,69,94,67,74,5,76,87,74
11,Telangana,91,58,73,64,49,90,100,84,60,65,86,75,59,,82,67,74
12,Maharashtra,69,45,84,67,53,93,100,73,58,66,98,77,73,53,68,76,73
13,Haryana,67,75,73,77,46,80,100,69,72,73,86,71,60,,65,67,72
14,Manipur,74,77,75,65,45,83,88,57,62,79,83,67,71,,83,69,72
15,Mizoram,74,76,69,65,69,94,100,81,55,43,70,57,79,,67,84,72
16,Tripura,71,63,79,52,45,82,74,74,39,77,80,99,51,,95,82,71
17,West Bengal,63,56,79,60,45,86,100,63,66,70,54,94,44,100,91,82,70
18,Chhattisgarh,70,40,56,63,51,93,87,67,39,72,79,95,47,,78,71,67
19,Madhya Pradesh,67,48,56,49,48,87,90,64,39,54,86,92,63,,90,73,67
20,Rajasthan,82,64,73,63,52,60,100,65,53,49,75,89,62,,54,70,67
21,Uttar Pradesh,57,50,61,54,42,92,100,60,53,66,82,85,52,,70,77,67
22,Odisha,73,45,73,40,39,88,84,75,48,64,74,85,64,70,76,62,66
23,Arunachal Pradesh,49,81,70,52,54,85,74,75,28,67,46,90,61,,80,63,65
24,Assam,75,47,60,41,42,85,100,63,44,68,59,75,59,,91,67,65
25,Meghalaya,63,52,71,40,58,80,62,57,44,77,42,76,80,,71,66,63
26,Nagaland,63,60,63,46,74,86,50,76,50,55,38,59,79,,74,65,63
27,Jharkhand,56,28,77,61,42,86,70,64,53,59,74,71,30,,95,60,62
28,Bihar,39,24,67,32,44,98,81,54,53,56,57,74,34,,73,68,57
