0.26561  	0.11667  	-0.6061  	-0.5327  	-0.2329  	-0.6915  	-0.0222  	0.61501  	0.64882  	-0.3787  	0.11128  	-1.2641  	0.22707  	-0.3527  	-0.3748  	0.05293  	-0.2109  	0.55762  	0.09571  	0.20638  	0.33895  	0.29858  	-0.3154  	-0.2674  	0.99946  	-0.4577  	0.03361  	-0.0397  	-0.0017  	0.30063  	-0.2108  	0.20903  	-0.0034  	-0.0959  	0.63485  	-0.0838  	0.44335  	-0.1197  	-0.3243  	0.63213  	0.00940  	0.08678  	-0.0874  	0.20085  	-0.0515  	-0.0746  	0.09159  	-0.1309  	-0.0103  	-0.0460  	-0.0063  	0.02400  	-0.0661  	0.01531  	0.00284  	-0.0330  	0.00602  	-0.0065  	-0.0204  	-0.0130  	0.01853  	-0.0037  	-0.0379  	0.02048  	0.07163  	0.03274  	-0.0058  	0.00453  	0.00185  	-0.6261  	
0.26561  	0.11667  	-0.6061  	-0.5327  	-0.2329  	-0.6915  	-0.0222  	0.61501  	0.64882  	-0.3787  	0.11128  	-1.2641  	0.22707  	-0.3527  	-0.3748  	0.05293  	-0.2109  	0.55762  	0.09571  	0.20638  	0.33895  	0.29858  	-0.3154  	-0.2674  	0.99946  	-0.4577  	0.03361  	-0.0397  	-0.0017  	0.30063  	-0.2108  	0.20903  	-0.0034  	-0.0959  	0.63485  	-0.0838  	0.44335  	-0.1197  	-0.3243  	0.63213  	0.00940  	0.08678  	-0.0874  	0.20085  	-0.0515  	-0.0746  	0.09159  	-0.1309  	-0.0103  	-0.0460  	-0.0063  	0.02400  	-0.0661  	0.01531  	0.00284  	-0.0330  	0.00602  	-0.0065  	-0.0204  	-0.0130  	0.01853  	-0.0037  	-0.0379  	0.02048  	0.07163  	0.03274  	-0.0058  	0.00453  	0.00185  	-0.6261  	
0.30922  	0.12238  	-0.5897  	-0.4412  	-0.1322  	-0.6600  	-0.0019  	0.58519  	0.61202  	-0.3600  	-0.0235  	-1.2917  	0.27172  	-0.2771  	-0.3476  	0.04802  	-0.2230  	0.56636  	0.09380  	0.20879  	0.26251  	0.31363  	-0.3650  	-0.2429  	1.08736  	-0.4668  	0.06841  	0.00276  	0.08268  	0.32899  	-0.2243  	0.18962  	-0.0206  	-0.1002  	0.63653  	-0.0495  	0.36948  	-0.1694  	-0.3045  	0.66816  	-0.0221  	0.10048  	-0.0984  	0.20776  	-0.0485  	-0.0744  	0.08458  	-0.1203  	-0.0020  	-0.0406  	0.00659  	0.02027  	-0.0682  	0.00778  	0.00330  	-0.0318  	0.00543  	-0.0066  	-0.0198  	-0.0189  	0.01463  	0.00040  	-0.0325  	0.01572  	0.07163  	0.03274  	-0.0058  	0.00453  	0.00185  	-0.6261  	
0.32448  	0.09970  	-0.5575  	-0.4141  	-0.1245  	-0.6197  	0.00398  	0.59067  	0.59871  	-0.3476  	-0.1030  	-1.3339  	0.30611  	-0.2369  	-0.3548  	-0.0124  	-0.2284  	0.58359  	0.08941  	0.20279  	0.21713  	0.32649  	-0.3783  	-0.2789  	1.12305  	-0.4841  	0.05915  	0.03548  	0.13870  	0.35088  	-0.2222  	0.19240  	-0.0299  	-0.0959  	0.60688  	-0.0236  	0.33866  	-0.1899  	-0.2791  	0.67456  	-0.0116  	0.10399  	-0.1008  	0.21114  	-0.0419  	-0.0735  	0.08010  	-0.1098  	0.00384  	-0.0456  	0.01102  	0.02118  	-0.0656  	0.00507  	0.00302  	-0.0274  	0.00861  	-0.0067  	-0.0159  	-0.0169  	0.01824  	-0.0040  	-0.0304  	0.01557  	0.07163  	0.03274  	-0.0058  	0.00453  	0.00185  	-0.6261  	
0.38220  	0.07402  	-0.5733  	-0.3277  	-0.0818  	-0.6196  	0.05011  	0.56335  	0.62196  	-0.3244  	-0.1996  	-1.4045  	0.36670  	-0.2429  	-0.3785  	-0.0337  	-0.2193  	0.58457  	0.08665  	0.23496  	0.10362  	0.37778  	-0.4534  	-0.3354  	1.19820  	-0.4821  	0.02975  	0.08303  	0.22987  	0.39242  	-0.2360  	0.16170  	-0.0373  	-0.0800  	0.52366  	0.01056  	0.25981  	-0.1962  	-0.2087  	0.72138  	0.02323  	0.10941  	-0.0602  	0.22011  	-0.0470  	-0.0770  	0.07010  	-0.0851  	0.01946  	-0.0541  	0.00887  	0.02015  	-0.0665  	0.00899  	0.00754  	-0.0201  	0.01510  	-0.0152  	-0.0187  	-0.0141  	0.01219  	-0.0072  	-0.0411  	0.01878  	0.07163  	0.03274  	-0.0058  	0.00453  	0.00185  	-0.6261  	
0.32886  	0.10834  	-0.6839  	-0.3114  	0.01363  	-0.7414  	0.04130  	0.50109  	0.58136  	-0.2253  	-0.3802  	-1.4885  	0.41336  	-0.1825  	-0.2298  	-0.1505  	-0.2388  	0.64032  	0.05442  	0.20964  	-0.0115  	0.38413  	-0.4723  	-0.3849  	1.28643  	-0.4959  	0.04258  	0.10490  	0.38146  	0.46786  	-0.1942  	0.14974  	-0.0489  	-0.0756  	0.52355  	0.03845  	0.15276  	-0.2314  	-0.1933  	0.75290  	-0.0085  	0.10238  	-0.0626  	0.20952  	-0.0532  	-0.0678  	0.07361  	-0.0841  	0.01373  	-0.0566  	0.00568  	0.01623  	-0.0728  	0.00018  	0.00921  	-0.0227  	0.01439  	-0.0137  	-0.0248  	-0.0115  	0.01561  	-0.0033  	-0.0374  	0.01336  	0.07163  	0.03274  	-0.0058  	0.00453  	0.00185  	-0.6261  	
-0.0225  	0.00623  	-0.8996  	-0.2868  	0.04801  	-0.9219  	0.03488  	0.46945  	0.53250  	-0.1974  	-0.1753  	-1.3523  	0.35528  	-0.0934  	-0.2218  	-0.1657  	-0.2639  	0.62059  	0.06990  	0.30723  	0.06729  	0.34016  	-0.5428  	-0.2399  	1.20097  	-0.4726  	0.06461  	0.13679  	0.25902  	0.40834  	-0.2011  	0.13384  	-0.0182  	-0.0998  	0.65768  	0.02976  	0.20768  	-0.2749  	-0.2609  	0.79031  	-0.0510  	0.15415  	-0.1541  	0.19225  	-0.0335  	-0.0811  	0.09591  	-0.1567  	-0.0159  	-0.0427  	0.01008  	0.01327  	-0.0836  	0.00200  	-0.0138  	-0.0267  	0.00280  	-0.0242  	-0.0057  	-0.0079  	0.00996  	0.01812  	-0.0574  	0.00535  	0.07163  	0.03274  	-0.0058  	0.00453  	0.00185  	-0.6261  	
-0.3589  	-0.1220  	-0.9862  	-0.8054  	-0.1672  	-1.1149  	-0.0192  	0.34952  	0.55768  	-0.1751  	0.07000  	-1.3356  	0.21372  	-0.6611  	-0.6549  	-0.1598  	-0.2772  	0.68417  	0.05666  	0.45196  	0.02168  	0.19379  	-0.5010  	-0.3981  	0.97739  	-0.4136  	-0.2060  	0.33485  	0.24934  	0.30669  	-0.1543  	0.14906  	0.00145  	-0.0697  	0.53200  	0.05370  	0.20606  	-0.2473  	-0.2553  	0.71835  	0.02183  	0.10323  	-0.1100  	0.19811  	-0.0404  	-0.0709  	0.10625  	-0.1420  	-0.0143  	-0.0373  	0.00168  	0.01619  	-0.0784  	0.00686  	0.00774  	-0.0574  	0.02999  	-0.0020  	-0.0242  	-0.0117  	0.01752  	-0.0009  	-0.0531  	0.02039  	0.07163  	0.03274  	-0.0058  	0.00453  	0.00185  	-0.6261  	
-0.4328  	-0.1472  	-0.9532  	-0.9448  	-0.2391  	-1.0308  	0.00366  	0.30716  	0.49512  	-0.1642  	0.15512  	-1.3346  	0.14888  	-0.7011  	-0.7741  	-0.2252  	-0.2418  	0.73754  	0.07967  	0.39928  	-0.0190  	0.21653  	-0.4501  	-0.3744  	1.08344  	-0.4226  	-0.2091  	0.30424  	0.31598  	0.30979  	-0.1724  	0.11175  	-0.0522  	-0.0763  	0.44535  	0.09684  	0.18087  	-0.2314  	-0.2287  	0.74019  	0.09479  	0.08220  	-0.1180  	0.18736  	-0.0267  	-0.0731  	0.09771  	-0.1670  	-0.0370  	-0.0420  	0.00512  	0.01525  	-0.0764  	0.00106  	0.00041  	-0.0539  	0.02327  	-0.0018  	-0.0207  	-0.0105  	0.00990  	-0.0145  	-0.0321  	0.01370  	0.07163  	0.03274  	-0.0058  	0.00453  	0.00185  	-0.6261  	
-0.3238  	-0.1142  	-0.9767  	-0.8184  	-0.2615  	-0.9829  	-0.0457  	0.33270  	0.51618  	-0.2263  	0.00549  	-1.3474  	0.16408  	-0.6944  	-0.6398  	-0.1682  	-0.2158  	0.68319  	0.12378  	0.33475  	-0.0297  	0.28500  	-0.3907  	-0.3812  	1.10851  	-0.4148  	-0.0991  	0.24050  	0.31904  	0.32928  	-0.1826  	0.13871  	-0.0544  	-0.0819  	0.40207  	0.07694  	0.17499  	-0.2187  	-0.2372  	0.75348  	0.09135  	0.08483  	-0.0919  	0.20807  	-0.0368  	-0.0779  	0.10398  	-0.1485  	-0.0265  	-0.0539  	0.00623  	0.01433  	-0.0811  	0.00903  	0.00183  	-0.0499  	0.02208  	-0.0138  	-0.0188  	-0.0162  	0.01674  	-0.0144  	-0.0433  	0.02035  	0.07163  	0.03274  	-0.0058  	0.00453  	0.00185  	-0.6261  	
